id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;id_braku_wartosci;oznaczenie_braku_wartosci;nazwa_braku_wartosci;id_tajnosci;oznaczenie_tajnosci;nazwa_tajnosci;id_flaga;oznaczenie_flagi;nazwa_flaga;notka
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2010;2010 ;1570,45;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2011;2011 ;1612,71;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2012;2012 ;1664,05;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;1667,22;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2014;2014 ;1726,05;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2015;2015 ;1755,38;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2016;2016 ;1858,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2017;2017 ;2009,02;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2018;2018 ;2154,7;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
515;Przeciętne miesięczne przychody netto na 1 osobę w gospodarstwach domowych;264;"Polska; Rodzaj przychodów; Grupa społeczno-ekonomiczna (BGD); Wielkość gospodarstwa domowego";33617;POLSKA;180;[zł];267;Grupa społeczno-ekonomiczna (BGD);6902025;Ogółem;274;Wielkość gospodarstwa domowego;6902052;Ogółem;291;Rodzaj przychodów;6901823;Przychody netto;;;;;;;;;;;;;;;;;;;;;282;2019;2019 ;2321,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
