rok;wartosc;typ_informacji
2010;137,8;[tys. szt.]
2011;137,9;[tys. szt.]
2012;137,4;[tys. szt.]
2013;136,9;[tys. szt.]
2014;135,5;[tys. szt.]
2015;132;[tys. szt.]
2016;129,9;[tys. szt.]
2017;126;[tys. szt.]
2018;124,4;[tys. szt.]
2019;123,1;[tys. szt.]
2020;117,5;[tys. szt.]
2021;112,4;[tys. szt.]
2022;115,3;[tys. szt.]
