nazwa zmiennej;jednostka terytorialna;sposob prezentacji;rok;wartosc;flaga
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;1996;119,9;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;1997;114,9;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;1998;111,8;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;1999;107,3;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2000;110,1;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2001;105,5;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2002;101,9;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2003;100,8;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2004;103,5;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2005;102,1;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2006;101;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2007;102,5;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2008;104,2;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2009;103,5;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2010;102,6;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2011;104,3;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2012;103,7;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2013;100,9;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2014;100;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2015;99,1;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2016;99,4;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2017;102;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2018;101,6;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2019;102,3;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2020;103,4;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2021;105,1;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2022;114,4;
Wskaznik cen towarow i uslug konsumpcyjnych;Polska;Rok poprzedni = 100;2023;111,4;
